village,ticket_1,vote_1,ticket_2,vote_2
雲林縣林內鄉,5212,46.62%,5967,53.37%
雲林縣斗六市,24310,41.99%,33574,58.00%
雲林縣大埤鄉,6532,54.09%,5543,45.90%
雲林縣斗南鎮,13073,48.79%,13721,51.20%
雲林縣古坑鄉,10231,54.34%,8595,45.65%
嘉義縣六腳鄉,9770,63.72%,5562,36.27%
嘉義縣東石鄉,8928,55.81%,7068,44.18%
嘉義縣朴子市,13715,57.40%,10177,42.59%
嘉義縣太保市,10030,52.79%,8967,47.20%
嘉義縣布袋鎮,8965,51.91%,8303,48.08%
嘉義縣義竹鄉,7256,57.34%,5397,42.65%
嘉義縣鹿草鄉,6019,59.02%,4179,40.97%
嘉義縣水上鄉,15668,50.39%,15420,49.60%
嘉義縣溪口鄉,6250,65.15%,3343,34.84%
嘉義縣大林鎮,10137,51.97%,9367,48.02%
嘉義縣梅山鄉,6581,52.16%,6035,47.83%
嘉義縣新港鄉,12383,64.22%,6897,35.77%
嘉義縣民雄鄉,20918,52.11%,19221,47.88%
嘉義縣竹崎鄉,11782,53.90%,10074,46.09%
嘉義縣中埔鄉,13530,51.43%,12775,48.56%
嘉義縣番路鄉,3544,52.24%,3239,47.75%
嘉義縣阿里山鄉,658,21.32%,2428,78.67%
嘉義縣大埔鄉,699,37.78%,1151,62.21%
臺南縣後壁鄉,10041,64.02%,5641,35.97%
臺南縣白河鎮,11002,59.88%,7371,40.11%
臺南縣北門鄉,4274,59.42%,2918,40.57%
臺南縣學甲鎮,10669,65.16%,5703,34.83%
臺南縣鹽水鎮,9859,62.58%,5895,37.41%
臺南縣新營市,21558,49.74%,21782,50.25%
臺南縣柳營鄉,8018,60.29%,5281,39.70%
臺南縣東山鄉,7112,56.18%,5547,43.81%
臺南縣將軍鄉,8605,66.88%,4261,33.11%
臺南縣下營鄉,9220,59.31%,6323,40.68%
臺南縣六甲鄉,8176,60.87%,5254,39.12%
臺南縣官田鄉,8717,64.95%,4704,35.04%
臺南縣七股鄉,9328,65.41%,4932,34.58%
臺南縣佳里鎮,19899,59.00%,13827,40.99%
臺南縣麻豆鎮,19159,69.54%,8389,30.45%
臺南縣善化鎮,14204,58.52%,10067,41.47%
臺南縣大內鄉,4236,61.55%,2646,38.44%
臺南縣玉井鄉,3968,43.72%,5107,56.27%
臺南縣楠西鄉,2321,37.01%,3949,62.98%
臺南縣西港鄉,9377,63.86%,5305,36.13%
