town,ticket_1,ticket_2,distance,rank
臺南市永康區,67165,55610,10.6915,140
臺南市新營區,23288,19089,11.038,141
高雄市杉林區,3668,3002,11.1154,142
苗栗縣竹南鎮,17094,26992,11.1722,143
臺中市神岡區,20026,16340,11.1935,144
宜蘭縣礁溪鄉,11168,9104,11.2693,145
高雄市三民區,113891,92734,11.3089,146
桃園縣八德市,37742,59873,11.3261,147
南投縣名間鄉,12714,10269,11.5483,148
屏東縣鹽埔鄉,8256,6681,11.5634,149
高雄市彌陀區,6869,5514,11.732,150
宜蘭縣蘇澳鎮,12829,10297,11.7452,151
桃園縣平鎮市,43252,70070,11.9987,152
澎湖縣湖西鄉,3554,2831,12.0188,153
高雄市鳥松區,14716,11688,12.1524,154
臺南市中西區,25729,20402,12.1788,155
臺東縣鹿野鄉,1533,2492,12.209,156
新竹縣新埔鎮,7922,12909,12.2263,157
基隆市安樂區,17043,27881,12.2488,158
臺北市內湖區,60949,99397,12.2904,159
桃園縣觀音鄉,18256,14409,12.3064,160
臺北市松山區,46270,76097,12.5752,161
高雄市前鎮區,66062,51722,12.6644,162
雲林縣東勢鄉,4661,3626,12.8373,163
基隆市中正區,11034,18395,12.8522,164
臺北市中正區,34295,56982,12.8837,165
屏東縣潮州鎮,17218,13378,12.937,166
桃園縣楊梅市,30080,50186,12.9575,167
新北市中和區,94471,158093,13.0756,168
臺東縣卑南鄉,3329,5589,13.188,169
臺北市信義區,50792,85314,13.2451,170
高雄市內門區,5288,4058,13.2976,171
高雄市路竹區,17453,13365,13.3593,172
屏東縣滿州鄉,2225,1701,13.4559,173
嘉義縣水上鄉,17203,13101,13.55,174
臺南市新化區,14281,10787,13.8175,175
雲林縣褒忠鄉,4219,3187,13.8541,176
高雄市永安區,4737,3565,13.9542,177
嘉義縣布袋鎮,9849,7408,14.0281,178
臺東縣池上鄉,1479,2572,14.3475,179
桃園縣中壢市,74200,130665,14.6892,180
新竹市東區,38394,67736,14.7339,181
嘉義縣大林鎮,10814,7917,14.9296,182
高雄市小港區,50395,36781,15.0462,183
新北市烏來區,1108,1987,15.2106,184
臺南市仁德區,24659,17878,15.2131,185
高雄市鹽埕區,9569,6941,15.2616,186
