town,distance,rank
臺中市霧峰區,0.0424,1
桃園縣蘆竹鄉,0.1414,2
臺中市大里區,0.198,3
臺中市大安區,0.2121,4
苗栗縣通霄鎮,0.2263,5
臺中市潭子區,0.2263,6
高雄市甲仙區,0.2828,7
臺北市北投區,0.3253,8
臺中市后里區,0.3536,9
臺北市萬華區,0.4101,10
臺中市大甲區,0.4384,11
臺中市烏日區,0.5798,12
雲林縣斗六市,0.6223,13
新北市板橋區,0.6364,14
彰化縣大村鄉,0.7071,15
新竹市香山區,0.7354,16
新北市金山區,0.792,17
臺南市南化區,0.8202,18
桃園縣大溪鎮,0.8485,19
彰化縣田中鎮,0.891,20
新北市鶯歌區,0.9758,21
臺北市中山區,1.1879,22
新北市三峽區,1.1879,23
雲林縣台西鄉,1.2162,24
彰化縣永靖鄉,1.2304,25
臺中市新社區,1.3435,26
新北市雙溪區,1.4001,27
宜蘭縣宜蘭市,1.4991,28
新北市泰山區,1.5132,29
臺南市東區,1.5981,30
彰化縣溪湖鎮,1.6263,31
彰化縣和美鎮,1.7112,32
新北市樹林區,1.7253,33
雲林縣麥寮鄉,1.7395,34
臺中市梧棲區,1.7819,35
臺中市太平區,1.9375,36
南投縣魚池鄉,2.0506,37
南投縣鹿谷鄉,2.2062,38
新北市八里區,2.2203,39
臺中市龍井區,2.2203,40
臺中市南區,2.2345,41
彰化縣員林鎮,2.3617,42
南投縣中寮鄉,2.4042,43
彰化縣彰化市,2.4324,44
臺中市西區,2.489,45
新北市新莊區,2.6446,46
彰化縣田尾鄉,2.687,47
澎湖縣西嶼鄉,2.687,48
高雄市左營區,2.8567,49
新北市土城區,2.8709,50
澎湖縣馬公市,2.8709,51
南投縣集集鎮,2.984,52
苗栗縣卓蘭鎮,3.0406,53
彰化縣大城鄉,3.0547,54
臺南市玉井區,3.0688,55
彰化縣北斗鎮,3.1961,56
臺中市中區,3.2527,57
澎湖縣白沙鄉,3.2668,58
臺北市士林區,3.3517,59
新北市林口區,3.578,60
臺中市清水區,3.5921,61
屏東縣屏東市,3.6204,62
臺中市大肚區,3.677,63
新北市五股區,3.7335,64
臺中市沙鹿區,3.7477,65
臺中市東區,3.8467,66
彰化縣花壇鄉,3.8749,67
南投縣竹山鎮,4.1436,68
桃園縣大園鄉,4.1719,69
新北市萬里區,4.3134,70
臺中市豐原區,4.4265,71
雲林縣虎尾鎮,4.4689,72
彰化縣伸港鄉,4.6669,73
臺中市大雅區,4.6952,74
彰化縣二林鎮,4.9073,75
南投縣水里鄉,4.9073,76
南投縣草屯鎮,5.0205,77
嘉義市東區,5.2467,78
嘉義縣大埔鄉,5.3316,79
彰化縣秀水鄉,5.3882,80
新竹市北區,5.4164,81
臺中市石岡區,5.572,82
臺中市南屯區,5.572,83
新北市深坑區,5.6003,84
桃園縣新屋鄉,6.0104,85
彰化縣社頭鄉,6.0245,86
新北市淡水區,6.0811,87
彰化縣埔鹽鄉,6.1518,88
宜蘭縣頭城鎮,6.1943,89
臺中市北屯區,6.1943,90
臺北市南港區,6.3215,91
臺南市楠西區,6.4205,92
高雄市鼓山區,6.4488,93
桃園縣龜山鄉,6.5054,94
臺中市東勢區,6.6327,95
臺中市北區,6.6327,96
彰化縣埔心鄉,6.8731,97
高雄市美濃區,6.9296,98
桃園縣桃園市,6.9438,99
高雄市楠梓區,6.9862,100
屏東縣鹽埔鄉,7.0145,101
基隆市仁愛區,7.0711,102
新北市平溪區,7.1559,103
雲林縣林內鄉,7.1701,104
新北市瑞芳區,7.2266,105
屏東縣恆春鎮,7.3256,106
臺南市安平區,7.4105,107
新竹縣峨眉鄉,7.5519,108
彰化縣福興鄉,7.5802,109
高雄市鳳山區,7.5802,110
苗栗縣後龍鎮,7.6085,111
臺中市西屯區,7.6226,112
臺南市北區,7.665,113
新北市三重區,7.7499,114
南投縣埔里鎮,7.863,115
高雄市苓雅區,7.9196,116
新北市蘆洲區,8.0186,117
彰化縣二水鄉,8.0186,118
彰化縣埤頭鄉,8.2024,119
高雄市岡山區,8.2166,120
南投縣南投市,8.3156,121
彰化縣芬園鄉,8.5136,122
新北市石門區,8.6126,123
彰化縣鹿港鎮,8.655,124
新北市汐止區,8.7116,125
臺中市神岡區,8.7681,126
彰化縣芳苑鄉,8.9095,127
苗栗縣苑裡鎮,9.051,128
臺中市外埔區,9.3762,129
高雄市杉林區,9.4752,130
高雄市內門區,9.6591,131
臺南市永康區,9.8146,132
宜蘭縣羅東鎮,9.8571,133
基隆市七堵區,9.8712,134
臺北市松山區,9.9278,135
新北市三芝區,10.0551,136
臺北市內湖區,10.1116,137
臺東縣鹿野鄉,10.1541,138
屏東縣滿州鄉,10.1682,139
雲林縣斗南鎮,10.2389,140
高雄市前金區,10.5925,141
高雄市新興區,10.6066,142
苗栗縣竹南鎮,10.6066,143
雲林縣東勢鄉,10.748,144
臺北市中正區,11.0592,145
宜蘭縣蘇澳鎮,11.1723,146
基隆市中山區,11.2006,147
桃園縣觀音鄉,11.3137,148
南投縣國姓鄉,11.3137,149
臺南市新化區,11.5117,150
嘉義市西區,11.5258,151
臺北市信義區,11.5824,152
