town,vote_1,vote_2,distance,rank
雲林縣崙背鄉,52.46%,47.53%,15.4291,196
臺南市左鎮區,52.53%,47.46%,15.5281,197
新北市石碇區,52.78%,47.21%,15.8816,198
嘉義縣太保市,52.79%,47.20%,15.8958,199
屏東縣枋山鄉,52.85%,47.14%,15.9806,200
臺南市南區,52.85%,47.14%,15.9806,201
高雄市旗山區,52.95%,47.04%,16.122,202
高雄市燕巢區,53.04%,46.95%,16.2493,203
高雄市大寮區,53.23%,46.76%,16.518,204
臺東縣台東市,29.77%,70.22%,16.6594,205
澎湖縣望安鄉,53.38%,46.61%,16.7301,206
新竹縣竹北市,29.59%,70.40%,16.914,207
雲林縣土庫鎮,53.59%,46.40%,17.0271,208
高雄市六龜區,53.69%,46.30%,17.1686,209
高雄市鹽埕區,53.75%,46.24%,17.2534,210
新竹縣關西鎮,29.31%,70.68%,17.31,211
桃園縣龍潭鄉,29.27%,70.72%,17.3665,212
嘉義縣竹崎鄉,53.90%,46.09%,17.4655,213
基隆市暖暖區,29.17%,70.82%,17.508,214
彰化縣溪州鄉,53.97%,46.02%,17.5645,215
雲林縣大埤鄉,54.09%,45.90%,17.7342,216
宜蘭縣壯圍鄉,54.24%,45.75%,17.9464,217
雲林縣古坑鄉,54.34%,45.65%,18.0878,218
臺東縣太麻里,28.69%,71.30%,18.1868,219
宜蘭縣員山鄉,54.70%,45.29%,18.5969,220
屏東縣內埔鄉,54.71%,45.28%,18.6111,221
新竹縣新豐鄉,28.15%,71.84%,18.9505,222
新北市貢寮區,54.97%,45.02%,18.9787,223
基隆市信義區,27.99%,72.00%,19.1767,224
高雄市湖內區,55.21%,44.78%,19.3182,225
新北市永和區,27.87%,72.12%,19.3464,226
屏東縣萬丹鄉,55.25%,44.74%,19.3747,227
高雄市茄萣區,55.32%,44.67%,19.4737,228
臺北市文山區,27.75%,72.24%,19.5161,229
新北市新店區,27.67%,72.32%,19.6293,230
屏東縣南州鄉,55.62%,44.37%,19.898,231
臺南市安南區,55.80%,44.19%,20.1525,232
嘉義縣東石鄉,55.81%,44.18%,20.1667,233
高雄市仁武區,55.85%,44.14%,20.2233,234
宜蘭縣五結鄉,55.99%,44.00%,20.4212,235
臺南市東山區,56.18%,43.81%,20.6899,236
屏東縣車城鄉,56.32%,43.67%,20.8879,237
臺東縣關山鎮,26.73%,73.26%,20.9586,238
屏東縣東港鎮,56.39%,43.60%,20.9869,239
新竹縣寶山鄉,26.69%,73.30%,21.0152,240
花蓮縣壽豐鄉,26.64%,73.35%,21.0859,241
臺南市龍崎區,56.57%,43.42%,21.2415,242
臺南市歸仁區,56.64%,43.35%,21.3405,243
臺南市關廟區,56.85%,43.14%,21.6375,244
宜蘭縣冬山鄉,56.93%,43.06%,21.7506,245
臺南市山上區,57.06%,42.93%,21.9345,246
澎湖縣七美鄉,26.04%,73.95%,21.9345,247
宜蘭縣三星鄉,57.08%,42.91%,21.9627,248
苗栗縣公館鄉,26.01%,73.98%,21.9769,249
高雄市林園區,57.25%,42.74%,22.2032,250
雲林縣元長鄉,57.30%,42.69%,22.2739,251
嘉義縣義竹鄉,57.34%,42.65%,22.3304,252
高雄市大社區,57.37%,42.62%,22.3729,253
屏東縣竹田鄉,57.38%,42.61%,22.387,254
嘉義縣朴子市,57.40%,42.59%,22.4153,255
屏東縣林邊鄉,57.45%,42.54%,22.486,256
高雄市阿蓮區,57.47%,42.52%,22.5143,257
高雄市旗津區,57.76%,42.23%,22.9244,258
新竹縣北埔鄉,25.24%,74.75%,23.0658,259
屏東縣麟洛鄉,57.89%,42.10%,23.1082,260
臺南市新市區,57.90%,42.09%,23.1224,261
高雄市梓官區,57.90%,42.09%,23.1224,262
雲林縣西螺鎮,58.00%,41.99%,23.2638,263
雲林縣北港鎮,58.11%,41.88%,23.4194,264
苗栗縣大湖鄉,24.88%,75.11%,23.5749,265
雲林縣莿桐鄉,58.25%,41.74%,23.6174,266
苗栗縣三灣鄉,24.78%,75.21%,23.7164,267
苗栗縣三義鄉,24.69%,75.30%,23.8436,268
屏東縣佳冬鄉,58.49%,41.50%,23.9568,269
南投縣信義鄉,24.60%,75.39%,23.9709,270
屏東縣崁頂鄉,58.51%,41.48%,23.9851,271
臺南市善化區,58.52%,41.47%,23.9992,272
新北市坪林區,58.58%,41.41%,24.0841,273
高雄市大樹區,58.67%,41.32%,24.2113,274
花蓮縣花蓮市,24.26%,75.73%,24.4518,275
花蓮縣吉安鄉,24.19%,75.80%,24.5507,276
臺南市佳里區,59.00%,40.99%,24.678,277
新竹縣芎林鄉,24.08%,75.91%,24.7063,278
嘉義縣鹿草鄉,59.02%,40.97%,24.7063,279
花蓮縣瑞穗鄉,24.08%,75.91%,24.7063,280
臺南市安定區,59.16%,40.83%,24.9043,281
新竹縣湖口鄉,23.89%,76.10%,24.975,282
臺南市下營區,59.31%,40.68%,25.1164,283
臺南市北門區,59.42%,40.57%,25.272,284
苗栗縣造橋鄉,23.45%,76.54%,25.5973,285
苗栗縣獅潭鄉,23.45%,76.54%,25.5973,286
屏東縣萬巒鄉,59.71%,40.28%,25.6821,287
花蓮縣玉里鎮,23.38%,76.61%,25.6963,288
臺南市白河區,59.88%,40.11%,25.9225,289
花蓮縣鳳林鎮,23.07%,76.92%,26.1347,290
花蓮縣富里鄉,22.93%,77.06%,26.3327,291
臺南市柳營區,60.29%,39.70%,26.5024,292
臺中市和平區,22.79%,77.20%,26.5306,293
高雄市橋頭區,60.31%,39.68%,26.5306,294
屏東縣里港鄉,60.34%,39.65%,26.5731,295
苗栗縣頭屋鄉,22.62%,77.37%,26.7711,296
臺東縣東河鄉,22.36%,77.63%,27.1388,297
臺南市六甲區,60.87%,39.12%,27.3226,298
新竹縣橫山鄉,21.94%,78.05%,27.7327,299
苗栗縣苗栗市,21.93%,78.06%,27.7469,300
苗栗縣銅鑼鄉,21.81%,78.18%,27.9166,301
苗栗縣西湖鄉,21.63%,78.36%,28.1711,302
臺南市大內區,61.55%,38.44%,28.2843,303
雲林縣口湖鄉,61.58%,38.41%,28.3267,304
嘉義縣阿里山鄉,21.32%,78.67%,28.6095,305
屏東縣新園鄉,61.98%,38.01%,28.8924,306
苗栗縣頭份鎮,21.05%,78.94%,28.9914,307
花蓮縣新城鄉,20.81%,79.18%,29.3308,308
臺東縣長濱鄉,20.55%,79.44%,29.6985,309
臺南市鹽水區,62.58%,37.41%,29.7409,310
高雄市田寮區,62.61%,37.38%,29.7833,311
臺東縣大武鄉,20.44%,79.55%,29.854,312
新竹縣竹東鎮,20.33%,79.66%,30.0096,313
屏東縣高樹鄉,62.84%,37.15%,30.1086,314
苗栗縣南庄鄉,19.76%,80.23%,30.8157,315
雲林縣二崙鄉,63.44%,36.55%,30.9571,316
屏東縣九如鄉,63.63%,36.36%,31.2258,317
嘉義縣六腳鄉,63.72%,36.27%,31.3531,318
桃園縣復興鄉,19.25%,80.74%,31.537,319
臺南市西港區,63.86%,36.13%,31.5511,320
臺南市後壁區,64.02%,35.97%,31.7774,321
花蓮縣光復鄉,19.02%,80.97%,31.8622,322
嘉義縣新港鄉,64.22%,35.77%,32.0602,323
臺東縣蘭嶼鄉,18.74%,81.25%,32.2582,324
臺東縣成功鎮,18.21%,81.78%,33.0077,325
臺南市官田區,64.95%,35.04%,33.0926,326
嘉義縣溪口鄉,65.15%,34.84%,33.3754,327
臺南市學甲區,65.16%,34.83%,33.3896,328
臺南市七股區,65.41%,34.58%,33.7431,329
高雄市三民區,16.56%,83.43%,35.3412,330
臺南市將軍區,66.88%,33.11%,35.822,331
雲林縣水林鄉,67.75%,32.24%,37.0524,332
屏東縣霧臺鄉,14.33%,85.66%,38.4949,333
宜蘭縣大同鄉,13.81%,86.18%,39.2303,334
臺南市麻豆區,69.54%,30.45%,39.5838,335
新竹縣尖石鄉,12.93%,87.06%,40.4748,336
花蓮縣豐濱鄉,12.52%,87.47%,41.0546,337
屏東縣三地門鄉,11.87%,88.12%,41.9739,338
新竹縣五峰鄉,11.79%,88.20%,42.087,339
苗栗縣泰安鄉,10.74%,89.25%,43.5719,340
屏東縣瑪家鄉,10.71%,89.28%,43.6143,341
臺東縣延平鄉,10.55%,89.44%,43.8406,342
花蓮縣秀林鄉,10.52%,89.47%,43.883,343
高雄市桃源區,10.34%,89.65%,44.1376,344
高雄市茂林區,9.76%,90.23%,44.9578,345
屏東縣牡丹鄉,9.76%,90.23%,44.9578,346
臺東縣綠島鄉,9.61%,90.38%,45.17,347
南投縣仁愛鄉,9.49%,90.50%,45.3397,348
屏東縣泰武鄉,9.35%,90.64%,45.5377,349
屏東縣獅子鄉,9.30%,90.69%,45.6084,350
花蓮縣萬榮鄉,7.72%,92.27%,47.8428,351
臺東縣達仁鄉,7.36%,92.63%,48.352,352
宜蘭縣南澳鄉,6.29%,93.70%,49.8652,353
花蓮縣卓溪鄉,6.07%,93.92%,50.1763,354
臺東縣海端鄉,5.64%,94.35%,50.7844,355
金門縣金湖鎮,5.64%,94.35%,50.7844,356
屏東縣春日鄉,5.37%,94.62%,51.1662,357
金門縣金寧鄉,5.29%,94.70%,51.2794,358
金門縣金城鎮,5.25%,94.74%,51.336,359
連江縣莒光鄉,5.03%,94.96%,51.6471,360
連江縣南竿鄉,4.91%,95.08%,51.8168,361
臺東縣金峰鄉,4.89%,95.10%,51.8451,362
連江縣北竿鄉,4.68%,95.31%,52.1421,363
金門縣烏坵鄉,4.58%,95.41%,52.2835,364
連江縣東引鄉,4.41%,95.58%,52.5239,365
屏東縣來義鄉,4.08%,95.91%,52.9906,366
金門縣金沙鎮,3.57%,96.42%,53.7118,367
金門縣烈嶼鄉,2.91%,97.08%,54.6452,368
