town,ticket_1,vote_1,ticket_2,vote_2,ticket_3,vote_3,distance,rank
臺中市南屯區,35777,41.80%,46962,54.87%,2848,3.32%,5.0671,79
桃園縣龜山鄉,32298,41.78%,42689,55.22%,2311,2.98%,5.2892,80
臺中市豐原區,47675,49.32%,46174,47.77%,2807,2.90%,5.3202,81
新北市石門區,2952,42.11%,3896,55.57%,162,2.31%,5.3248,82
臺中市新社區,7487,49.45%,7224,47.71%,428,2.82%,5.4523,83
新北市林口區,19638,41.44%,26061,55.00%,1683,3.55%,5.4535,84
新竹市北區,34624,41.60%,45997,55.26%,2604,3.12%,5.4558,85
臺中市外埔區,7583,41.69%,10084,55.44%,521,2.86%,5.5027,86
宜蘭縣頭城鎮,6928,41.47%,9249,55.37%,526,3.14%,5.627,87
新北市瑞芳區,10241,41.41%,13697,55.39%,787,3.18%,5.6876,88
臺中市北屯區,58981,41.33%,79093,55.43%,4605,3.22%,5.7767,89
彰化縣埔鹽鄉,8032,41.62%,10771,55.81%,493,2.55%,5.8179,90
新北市深坑區,5799,41.19%,7847,55.74%,430,3.05%,6.0776,91
高雄市楠梓區,50536,50.15%,47855,47.49%,2373,2.35%,6.123,92
基隆市仁愛區,11291,40.96%,15308,55.54%,961,3.48%,6.1523,93
臺南市南化區,2515,49.43%,2382,46.82%,190,3.73%,6.183,94
高雄市苓雅區,56730,50.35%,53341,47.34%,2593,2.30%,6.3748,95
臺南市玉井區,4348,50.18%,4074,47.02%,242,2.79%,6.456,96
彰化縣社頭鄉,12814,50.35%,11926,46.86%,706,2.77%,6.6893,97
臺中市北區,34635,40.50%,47889,56.01%,2975,3.47%,6.8021,98
新北市淡水區,35103,40.84%,48506,56.43%,2342,2.72%,6.8025,99
桃園縣桃園市,91421,40.69%,126560,56.33%,6685,2.97%,6.8426,100
桃園縣新屋鄉,14258,50.57%,13175,46.73%,759,2.69%,6.9372,101
彰化縣埔心鄉,10141,50.52%,9366,46.66%,565,2.81%,6.9511,102
高雄市鳳山區,103396,50.67%,95531,46.82%,5100,2.49%,6.9515,103
苗栗縣後龍鎮,8766,40.86%,12159,56.68%,525,2.44%,6.9758,104
臺南市北區,39911,50.75%,36636,46.59%,2087,2.65%,7.1643,105
澎湖縣西嶼鄉,1908,49.49%,1768,45.86%,179,4.64%,7.1681,106
彰化縣二水鄉,4966,50.34%,4558,46.21%,339,3.43%,7.1892,107
新北市三芝區,5337,40.78%,7468,57.06%,281,2.14%,7.3293,108
高雄市岡山區,29593,50.79%,26952,46.26%,1711,2.93%,7.4277,109
彰化縣鹿港鎮,25150,50.73%,22863,46.11%,1563,3.15%,7.5035,110
高雄市前金區,9254,51.00%,8412,46.35%,479,2.63%,7.5111,111
高雄市美濃區,13084,51.12%,11808,46.14%,698,2.72%,7.743,112
南投縣南投市,23513,39.67%,33451,56.44%,2302,3.88%,7.759,113
臺中市西屯區,46854,39.91%,66724,56.83%,3814,3.24%,7.7654,114
彰化縣埤頭鄉,8612,51.41%,7764,46.35%,373,2.22%,7.827,115
新竹縣峨眉鄉,1493,39.86%,2135,57.00%,117,3.12%,7.9109,116
南投縣國姓鄉,4457,39.96%,6374,57.15%,321,2.87%,7.935,117
臺南市安平區,17802,51.23%,15973,45.96%,972,2.79%,7.948,118
高雄市新興區,17424,51.50%,15576,46.04%,829,2.45%,8.0911,119
宜蘭縣羅東鎮,20341,51.60%,18093,45.90%,979,2.48%,8.2589,120
新北市三重區,122765,51.46%,109114,45.74%,6651,2.78%,8.2661,121
新北市汐止區,45214,39.67%,65463,57.44%,3282,2.87%,8.345,122
南投縣埔里鎮,17962,39.73%,26002,57.52%,1237,2.73%,8.3581,123
彰化縣福興鄉,14401,51.58%,12705,45.50%,812,2.90%,8.5224,124
屏東縣琉球鄉,2027,40.14%,2938,58.18%,84,1.66%,8.6398,125
基隆市中山區,11286,38.91%,16522,56.96%,1197,4.12%,8.7027,126
臺北市南港區,28118,39.51%,41141,57.82%,1890,2.65%,8.7267,127
基隆市七堵區,12246,39.08%,17978,57.37%,1109,3.53%,8.7629,128
新北市蘆洲區,58275,51.99%,50934,45.44%,2859,2.55%,8.8566,129
苗栗縣苑裡鎮,14156,52.12%,12296,45.27%,704,2.59%,9.0674,130
彰化縣芬園鄉,7607,51.96%,6591,45.02%,441,3.01%,9.1339,131
臺北市大同區,40907,52.39%,35220,45.11%,1944,2.49%,9.375,132
新北市平溪區,1734,52.27%,1492,44.98%,91,2.74%,9.3763,133
屏東縣恆春鎮,7920,52.65%,6796,45.18%,324,2.15%,9.5325,134
彰化縣線西鄉,3625,37.95%,5519,57.77%,408,4.27%,9.9665,135
雲林縣林內鄉,5882,52.89%,4955,44.55%,283,2.54%,10.1222,136
雲林縣斗南鎮,14049,52.92%,11805,44.47%,689,2.59%,10.1985,137
彰化縣芳苑鄉,9838,53.11%,8207,44.30%,477,2.57%,10.4535,138
嘉義市西區,42908,53.20%,35577,44.11%,2160,2.67%,10.6496,139
臺南市永康區,67165,53.20%,55610,44.05%,3463,2.74%,10.6915,140
臺南市新營區,23288,53.45%,19089,43.81%,1192,2.73%,11.038,141
高雄市杉林區,3668,53.64%,3002,43.90%,167,2.44%,11.1154,142
苗栗縣竹南鎮,17094,37.57%,26992,59.33%,1405,3.08%,11.1722,143
臺中市神岡區,20026,53.54%,16340,43.68%,1036,2.76%,11.1935,144
宜蘭縣礁溪鄉,11168,53.80%,9104,43.85%,485,2.33%,11.2693,145
高雄市三民區,113891,53.86%,92734,43.86%,4798,2.26%,11.3089,146
桃園縣八德市,37742,37.48%,59873,59.46%,3067,3.04%,11.3261,147
南投縣名間鄉,12714,53.86%,10269,43.50%,619,2.62%,11.5483,148
屏東縣鹽埔鄉,8256,54.16%,6681,43.83%,305,2.00%,11.5634,149
高雄市彌陀區,6869,53.86%,5514,43.24%,369,2.89%,11.732,150
宜蘭縣蘇澳鎮,12829,53.91%,10297,43.27%,669,2.81%,11.7452,151
桃園縣平鎮市,43252,36.99%,70070,59.92%,3600,3.07%,11.9987,152
澎湖縣湖西鄉,3554,53.33%,2831,42.48%,278,4.17%,12.0188,153
高雄市鳥松區,14716,54.43%,11688,43.23%,631,2.33%,12.1524,154
臺南市中西區,25729,54.34%,20402,43.09%,1215,2.56%,12.1788,155
臺東縣鹿野鄉,1533,37.13%,2492,60.36%,103,2.49%,12.209,156
新竹縣新埔鎮,7922,36.94%,12909,60.20%,609,2.84%,12.2263,157
基隆市安樂區,17043,36.40%,27881,59.55%,1895,4.04%,12.2488,158
臺北市內湖區,60949,37.00%,99397,60.35%,4352,2.64%,12.2904,159
桃園縣觀音鄉,18256,54.22%,14409,42.79%,1001,2.97%,12.3064,160
臺北市松山區,46270,36.85%,76097,60.60%,3191,2.54%,12.5752,161
高雄市前鎮區,66062,54.87%,51722,42.96%,2610,2.16%,12.6644,162
雲林縣東勢鄉,4661,54.82%,3626,42.64%,215,2.52%,12.8373,163
基隆市中正區,11034,35.97%,18395,59.98%,1239,4.04%,12.8522,164
臺北市中正區,34295,36.55%,56982,60.74%,2531,2.69%,12.8837,165
屏東縣潮州鎮,17218,55.09%,13378,42.80%,658,2.10%,12.937,166
桃園縣楊梅市,30080,36.35%,50186,60.64%,2483,3.00%,12.9575,167
新北市中和區,94471,36.31%,158093,60.77%,7559,2.90%,13.0756,168
臺東縣卑南鄉,3329,36.26%,5589,60.88%,262,2.85%,13.188,169
臺北市信義區,50792,36.33%,85314,61.03%,3679,2.63%,13.2451,170
高雄市內門區,5288,55.16%,4058,42.33%,239,2.49%,13.2976,171
高雄市路竹區,17453,55.17%,13365,42.25%,813,2.57%,13.3593,172
屏東縣滿州鄉,2225,55.38%,1701,42.34%,91,2.26%,13.4559,173
嘉義縣水上鄉,17203,55.30%,13101,42.11%,804,2.58%,13.55,174
臺南市新化區,14281,55.45%,10787,41.88%,684,2.65%,13.8175,175
雲林縣褒忠鄉,4219,55.62%,3187,42.01%,179,2.35%,13.8541,176
高雄市永安區,4737,55.61%,3565,41.85%,215,2.52%,13.9542,177
嘉義縣布袋鎮,9849,55.84%,7408,42.00%,378,2.14%,14.0281,178
臺東縣池上鄉,1479,35.52%,2572,61.78%,112,2.69%,14.3475,179
桃園縣中壢市,74200,35.13%,130665,61.87%,6307,2.98%,14.6892,180
新竹市東區,38394,35.06%,67736,61.86%,3362,3.07%,14.7339,181
嘉義縣大林鎮,10814,56.46%,7917,41.34%,419,2.18%,14.9296,182
高雄市小港區,50395,56.57%,36781,41.29%,1895,2.12%,15.0462,183
新北市烏來區,1108,34.61%,1987,62.07%,106,3.31%,15.2106,184
臺南市仁德區,24659,56.51%,17878,40.97%,1095,2.50%,15.2131,185
高雄市鹽埕區,9569,56.75%,6941,41.17%,349,2.07%,15.2616,186
新竹縣關西鎮,6396,34.41%,11566,62.22%,625,3.36%,15.4607,187
嘉義縣中埔鄉,14972,56.75%,10727,40.66%,683,2.58%,15.6003,188
嘉義縣民雄鄉,23395,56.83%,16769,40.73%,1001,2.43%,15.6111,189
彰化縣竹塘鄉,4885,56.95%,3504,40.85%,188,2.19%,15.6215,190
桃園縣龍潭鄉,22057,34.49%,40027,62.59%,1863,2.91%,15.6494,191
臺南市南區,44122,56.93%,31541,40.69%,1839,2.37%,15.7121,192
新北市石碇區,2680,56.67%,1910,40.38%,139,2.93%,15.7416,193
高雄市六龜區,4475,57.10%,3164,40.37%,198,2.52%,16.054,194
新竹縣竹北市,26837,34.10%,49423,62.81%,2425,3.08%,16.0844,195
嘉義縣番路鄉,3875,57.00%,2730,40.15%,193,2.83%,16.1364,196
基隆市暖暖區,7027,33.42%,13040,62.02%,957,4.55%,16.1513,197
屏東縣長治鄉,10478,57.50%,7399,40.60%,345,1.89%,16.2066,198
高雄市旗山區,13569,57.31%,9532,40.26%,575,2.42%,16.2829,199
嘉義縣梅山鄉,6924,57.23%,4858,40.15%,315,2.60%,16.2999,200
高雄市燕巢區,10870,57.39%,7611,40.18%,458,2.41%,16.3962,201
臺北市大安區,62918,34.10%,116778,63.30%,4776,2.58%,16.4275,202
高雄市大寮區,36974,57.48%,25819,40.14%,1523,2.36%,16.4898,203
宜蘭縣壯圍鄉,8228,57.61%,5752,40.27%,301,2.10%,16.5023,204
彰化縣溪州鄉,9863,57.62%,6838,39.95%,414,2.41%,16.7214,205
屏東縣新埤鄉,3632,57.58%,2511,39.81%,164,2.60%,16.7879,206
臺東縣臺東市,18455,33.65%,34748,63.37%,1628,2.96%,16.7956,207
雲林縣四湖鄉,7318,58.02%,5043,39.98%,251,1.99%,17.0038,208
澎湖縣望安鄉,743,55.61%,511,38.24%,82,6.13%,17.0131,209
嘉義縣東石鄉,9247,57.97%,6287,39.41%,417,2.61%,17.3463,210
雲林縣土庫鎮,9627,58.09%,6523,39.36%,422,2.54%,17.4676,211
嘉義縣太保市,11955,58.11%,8087,39.30%,531,2.58%,17.5235,212
嘉義縣義竹鄉,7762,58.56%,5264,39.71%,228,1.72%,17.5966,213
新竹縣新豐鄉,9604,32.93%,18683,64.06%,875,3.00%,17.7932,214
屏東縣枋寮鄉,8768,58.78%,5896,39.53%,251,1.68%,17.8822,215
新竹縣寶山鄉,2753,32.41%,5428,63.91%,312,3.67%,18.0868,216
高雄市湖內區,10340,58.46%,6870,38.84%,475,2.68%,18.0951,217
基隆市信義區,9635,32.13%,19170,63.94%,1175,3.91%,18.3262,218
宜蘭縣員山鄉,10835,58.99%,7122,38.77%,409,2.22%,18.5308,219
雲林縣崙背鄉,8414,58.97%,5519,38.68%,333,2.33%,18.576,220
嘉義縣竹崎鄉,12780,58.85%,8346,38.43%,588,2.70%,18.6607,221
雲林縣古坑鄉,10984,59.05%,7147,38.42%,468,2.51%,18.8115,222
雲林縣大埤鄉,6892,59.18%,4433,38.06%,320,2.74%,19.1555,223
臺東縣太麻里,1904,32.04%,3885,65.39%,152,2.55%,19.3622,224
