town,ticket_1,vote_1,ticket_2,vote_2,ticket_3,vote_3,distance,rank
花蓮縣豐濱鄉,325,15.40%,1718,81.42%,67,3.17%,42.4647,341
花蓮縣秀林鄉,963,14.17%,5484,80.73%,346,5.09%,42.9385,342
屏東縣牡丹鄉,329,14.01%,1934,82.40%,84,3.57%,44.1488,343
南投縣仁愛鄉,1005,13.39%,6198,82.58%,302,4.02%,44.7299,344
高雄市茂林區,134,14.48%,776,83.89%,15,1.62%,44.8806,345
屏東縣瑪家鄉,506,13.41%,3155,83.64%,111,2.94%,45.4392,346
臺東縣延平鄉,209,13.53%,1303,84.39%,32,2.07%,45.8919,347
屏東縣三地門,547,13.30%,3477,84.55%,88,2.14%,46.1662,348
花蓮縣萬榮鄉,317,11.67%,2297,84.60%,101,3.72%,47.3625,349
屏東縣獅子鄉,296,11.96%,2106,85.15%,71,2.87%,47.5319,350
臺東縣達仁鄉,209,11.78%,1524,85.90%,41,2.31%,48.1925,351
屏東縣泰武鄉,310,11.00%,2442,86.71%,64,2.27%,49.3172,352
連江縣東引鄉,52,8.37%,524,84.38%,45,7.24%,49.8288,353
宜蘭縣南澳鄉,269,9.47%,2449,86.26%,121,4.26%,50.111,354
連江縣南竿鄉,273,8.78%,2691,86.58%,144,4.63%,50.8431,355
金門縣金寧鄉,732,9.77%,6589,87.95%,170,2.26%,51.0638,356
金門縣金湖鎮,806,9.14%,7740,87.81%,268,3.04%,51.4078,357
臺東縣海端鄉,155,8.98%,1527,88.47%,44,2.54%,51.9872,358
花蓮縣卓溪鄉,219,8.71%,2221,88.34%,74,2.94%,52.086,359
金門縣金城鎮,1118,8.55%,11611,88.87%,335,2.56%,52.5739,360
連江縣莒光鄉,30,5.58%,459,85.47%,48,8.93%,52.8133,361
屏東縣春日鄉,208,8.49%,2188,89.37%,52,2.12%,52.9751,362
連江縣北竿鄉,63,6.71%,833,88.80%,42,4.47%,53.8659,363
金門縣烏坵鄉,9,8.73%,94,91.26%,0,0.00%,54.2415,364
屏東縣來義鄉,298,7.39%,3644,90.44%,87,2.15%,54.5089,365
臺東縣金峰鄉,108,6.06%,1625,91.24%,48,2.69%,56.01,366
金門縣金沙鎮,353,5.76%,5619,91.81%,148,2.41%,56.6267,367
金門縣烈嶼鄉,175,5.35%,3023,92.53%,69,2.11%,57.4297,368
